Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
LoginTestData,Chrome 123.0.0.0,,,26-03-2024 23:16:38,26-03-2024 23:17:40,1m - 2.167s,PASSED
,,,,,,,
Test Cases/Login,Chrome 123.0.0.0,,,26-03-2024 23:16:39,26-03-2024 23:16:54,14.403s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,26-03-2024 23:16:40,26-03-2024 23:16:45,4.107s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 123.0.0.0,,,26-03-2024 23:16:45,26-03-2024 23:16:49,4.355s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), username)",Chrome 123.0.0.0,,,26-03-2024 23:16:49,26-03-2024 23:16:51,2.249s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), password)",Chrome 123.0.0.0,,,26-03-2024 23:16:51,26-03-2024 23:16:52,1.263s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 123.0.0.0,,,26-03-2024 23:16:52,26-03-2024 23:16:53,0.564s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,26-03-2024 23:16:53,26-03-2024 23:16:54,0.848s,PASSED
,,,,,,,
Test Cases/Login,Chrome 123.0.0.0,,,26-03-2024 23:16:54,26-03-2024 23:17:01,7.389s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,26-03-2024 23:16:54,26-03-2024 23:16:56,1.942s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 123.0.0.0,,,26-03-2024 23:16:56,26-03-2024 23:16:57,0.892s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), username)",Chrome 123.0.0.0,,,26-03-2024 23:16:57,26-03-2024 23:16:59,2.606s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), password)",Chrome 123.0.0.0,,,26-03-2024 23:16:59,26-03-2024 23:17:00,1.012s,PASSED
